accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temperature
-2.43,-2.95,9.09,-0.02,-0.04,0.01,34.92
-2.23,-2.99,8.93,0.01,-0.04,0.01,34.92
-2.38,-3.0,9.13,-0.02,-0.08,0.01,34.9
-2.32,-2.9,9.11,-0.01,-0.03,0.01,34.92
-2.35,-2.92,9.1,-0.02,-0.03,0.0,34.92
-3.18,4.71,8.21,0.51,-0.02,-0.1,34.94
0.43,1.56,10.5,-0.48,-0.4,0.12,34.93
-0.72,0.52,10.07,0.24,-0.26,-0.04,34.94
-0.14,-0.19,10.11,-0.14,0.15,0.08,34.92
-0.34,0.25,9.9,-0.05,0.02,0.06,34.94
-0.29,1.07,9.84,-0.02,0.01,-0.17,34.94
-1.32,0.55,10.0,0.05,0.06,0.03,34.94
-2.21,-1.24,9.57,-0.07,0.04,0.25,34.93
-0.78,0.72,9.91,-0.12,-0.01,-0.0,34.94
0.07,0.15,9.78,-0.01,-0.08,0.01,34.92
-0.62,0.37,9.88,0.12,-0.05,0.1,34.93
-0.0,0.09,9.81,0.0,-0.14,-0.0,34.93
0.11,0.21,10.04,0.12,-0.05,-0.0,34.92
-0.06,0.67,10.07,0.0,-0.01,0.0,34.94
0.05,0.73,9.88,0.03,-0.03,0.02,34.93
-0.7,0.68,10.43,-0.04,0.01,0.0,34.94
0.0,0.62,10.03,-0.01,-0.05,0.01,34.95
-0.03,0.63,10.02,-0.01,-0.05,0.01,34.93
0.03,0.6,10.07,-0.01,-0.03,0.02,34.93
0.0,0.6,10.05,-0.0,-0.05,0.01,34.94
0.0,0.64,9.95,-0.02,-0.05,0.02,34.95
-0.07,0.65,10.08,-0.02,-0.04,0.01,34.92
-0.02,0.65,10.02,-0.02,-0.08,0.02,34.94
-0.0,0.7,10.0,-0.0,-0.05,0.01,34.94
-0.02,0.62,9.92,-0.01,-0.06,0.02,34.94
0.04,0.57,10.03,-0.01,-0.04,0.02,34.93
0.01,0.62,10.0,-0.01,-0.04,0.01,34.92
-0.06,0.66,10.04,-0.01,-0.06,0.01,34.94
0.01,0.62,10.02,-0.01,-0.05,0.01,34.94
-0.05,0.65,10.03,0.0,-0.04,0.01,34.94
0.02,0.64,10.0,-0.01,-0.05,0.01,34.92
0.11,0.7,9.91,-0.02,-0.05,0.02,34.92
-0.07,0.75,10.03,-0.02,-0.04,0.01,34.95
0.01,0.62,10.0,-0.02,-0.05,0.01,34.95
0.0,0.63,10.01,-0.01,-0.05,0.01,34.95
-0.06,0.68,10.05,-0.01,-0.07,0.01,34.94
-0.01,0.63,10.04,0.02,-0.03,0.01,34.93
-0.11,0.64,10.08,-0.01,-0.04,0.01,34.96
0.06,0.6,10.03,-0.02,-0.06,0.02,34.94
-0.02,0.64,10.01,-0.01,-0.04,0.01,34.95
-0.07,0.6,9.98,-0.0,-0.07,0.01,34.93
0.05,0.68,9.99,-0.01,-0.05,0.01,34.94
-0.04,0.64,10.04,0.0,-0.04,0.01,34.94
0.02,0.62,9.96,-0.0,-0.03,0.01,34.93
0.32,1.21,9.87,-0.01,-0.03,0.05,34.94
-0.91,1.53,10.37,-0.63,0.08,0.21,34.95
0.35,0.74,9.67,0.05,-0.07,-0.0,34.94
0.07,0.68,9.99,-0.08,-0.03,0.01,34.95
0.86,1.16,9.47,-0.0,0.05,0.05,34.94
0.14,0.56,10.08,0.01,-0.03,0.02,34.96
0.06,0.54,10.05,-0.01,-0.04,0.02,34.94
0.05,0.38,10.04,0.0,-0.07,0.01,34.95
0.07,0.57,9.96,-0.01,-0.06,0.01,34.92
0.05,0.51,10.05,-0.01,-0.06,0.01,34.95
0.06,0.54,10.04,-0.01,-0.05,0.02,34.94
-0.28,0.55,9.98,0.02,-0.07,0.02,34.94
0.07,0.47,10.05,-0.02,-0.03,-0.0,34.95
0.06,0.42,10.04,-0.01,-0.05,0.0,34.95
0.01,0.48,10.02,-0.01,-0.06,0.01,34.95
0.06,0.44,10.0,-0.0,-0.04,0.01,34.94
0.06,0.45,9.95,-0.04,-0.04,0.01,34.94
0.03,0.52,10.26,-0.02,-0.04,0.01,34.95
0.05,0.48,10.07,0.01,-0.04,0.01,34.94
-0.03,0.44,10.09,-0.02,-0.04,0.02,34.94
-0.03,0.45,10.02,-0.01,-0.05,0.01,34.93
0.05,0.45,10.01,-0.02,-0.06,0.01,34.94
0.05,0.46,10.04,-0.01,-0.04,0.02,34.93
-0.0,0.48,10.02,-0.01,-0.04,0.01,34.92
0.0,0.46,10.03,-0.01,-0.05,0.01,34.94
0.09,0.48,9.98,-0.01,-0.05,0.01,34.93
0.08,0.43,9.96,-0.0,-0.06,0.02,34.92
0.02,0.44,10.07,-0.01,-0.05,0.01,34.93
0.01,0.47,10.07,-0.01,-0.05,0.01,34.94
0.08,0.48,10.07,-0.01,-0.05,0.01,34.95
0.06,0.45,10.01,-0.01,-0.04,0.01,34.94
0.02,0.44,10.02,-0.01,-0.05,0.01,34.92
0.07,0.46,10.03,-0.01,-0.06,0.01,34.92
0.05,0.45,10.07,-0.01,-0.04,0.01,34.95
0.05,0.44,9.88,-0.04,-0.05,0.01,34.94
-0.01,0.49,10.07,0.01,-0.05,0.01,34.95
0.14,0.46,9.87,-0.01,-0.06,0.01,34.93
-0.03,0.45,10.01,-0.01,-0.05,0.02,34.94
0.02,0.42,10.03,-0.01,-0.05,0.02,34.94
0.07,0.41,10.08,-0.01,-0.05,0.01,34.94
0.03,0.48,10.01,-0.01,-0.04,0.02,34.95
-0.0,0.47,10.06,-0.01,-0.05,0.01,34.94
-0.01,0.48,10.04,-0.01,-0.06,0.01,34.93
0.06,0.43,10.04,-0.01,-0.04,0.01,34.94
0.03,0.41,10.03,-0.01,-0.05,0.01,34.94
0.0,0.47,10.04,-0.01,-0.05,0.01,34.94
0.07,0.42,10.01,-0.01,-0.05,0.01,34.93
0.2,0.8,9.9,-0.01,-0.06,-0.09,34.91
0.02,0.18,10.02,0.01,-0.06,-0.01,34.94
0.22,0.68,10.14,0.02,-0.06,0.04,34.94
0.14,0.41,10.02,-0.02,-0.08,0.01,34.94
0.04,0.6,10.3,0.02,-0.04,0.04,34.94
