accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temperature
-9.11,0.85,-0.42,-0.01,-0.07,0.02,34.93
-9.13,0.82,-0.34,-0.01,-0.05,0.01,34.92
-9.26,0.85,-0.2,-0.01,-0.07,0.01,34.93
-9.12,0.88,-0.27,0.02,-0.04,0.02,34.94
-9.13,0.93,-0.36,0.01,-0.05,0.01,34.93
-9.06,0.75,-0.41,0.08,-0.08,-0.0,34.94
-9.98,-2.21,-3.47,2.7,0.29,-0.12,34.93
-10.43,-0.01,-1.78,-0.43,-0.27,-0.34,34.92
-9.05,-0.88,-0.96,0.37,0.23,-0.02,34.94
-8.77,2.8,-1.6,-1.04,-0.54,-0.04,34.92
-9.46,0.79,-0.08,-1.74,0.33,-0.36,34.92
-9.14,-0.56,-0.38,-0.92,0.02,-0.1,34.92
-7.46,1.65,-2.34,-2.71,-0.03,-0.98,34.94
-14.28,-3.44,-2.43,0.93,0.2,-0.42,34.94
1.09,-2.72,-0.62,-0.42,-0.04,0.19,34.94
-13.49,-0.49,-0.22,-1.31,0.12,0.12,34.97
-12.18,-0.23,-2.33,0.04,0.33,-0.55,34.95
-6.23,-1.83,0.2,0.62,-0.65,0.33,34.95
-16.25,3.3,-3.63,-0.97,0.5,-0.34,34.94
-6.87,2.28,-0.76,-1.78,-0.02,-0.7,34.94
-4.53,-1.5,-6.86,0.15,-0.68,-0.54,34.95
-15.24,-0.57,0.3,0.86,-0.08,-0.06,34.94
-2.66,-0.76,-0.44,1.13,-0.68,0.51,34.94
-12.2,-0.24,0.43,-1.57,0.22,-0.03,34.95
-7.59,1.06,-0.16,-0.09,-0.33,0.15,34.94
-13.78,-2.79,-1.89,-1.42,0.37,-0.68,34.94
-7.93,1.39,-1.67,1.18,0.07,0.44,34.93
-9.98,1.21,-0.68,-0.31,0.61,0.1,34.94
-9.15,0.2,0.62,-0.38,0.16,0.2,34.94
-3.73,-1.15,0.8,0.05,-0.37,-0.09,34.95
-15.24,-1.58,0.19,0.39,-0.06,-0.08,34.94
-6.71,-0.21,-0.26,0.97,0.21,0.25,34.93
-12.65,1.14,-6.08,-1.54,0.37,-0.43,34.93
-14.46,2.24,-3.98,-2.75,0.12,-0.69,34.96
-8.2,0.2,-0.15,-0.98,-0.3,-0.17,34.95
-5.5,-0.42,-4.09,0.01,0.36,-0.25,34.94
-7.32,-0.17,-0.38,1.41,-0.12,0.15,34.94
-5.42,3.05,-7.07,-0.88,-0.41,0.09,34.94
-16.92,0.1,0.84,-0.25,0.44,0.04,34.93
-3.84,-0.29,0.37,0.13,-0.22,-0.17,34.93
-14.05,-2.27,-1.75,-0.39,0.47,-0.07,34.94
-10.74,-1.85,-0.2,-1.62,0.29,-0.5,34.93
-8.95,-0.4,-0.68,1.82,-0.33,0.39,34.92
-15.2,2.19,-5.2,-0.55,0.04,-0.04,34.92
-6.52,0.76,1.52,-0.46,-0.27,-0.09,34.92
-11.61,-1.46,-2.13,0.03,-0.75,0.09,34.94
-12.7,1.68,0.52,0.2,0.49,0.52,34.92
-10.51,-1.26,0.96,1.52,-0.33,0.17,34.92
-8.64,1.06,0.1,-0.31,-0.05,-0.19,34.93
-13.85,2.41,-0.05,0.06,-0.44,-0.41,34.91
-11.58,0.84,0.73,-0.69,-0.12,-0.59,34.9
-8.99,-0.56,-5.37,-0.82,0.49,-0.56,34.9
-11.38,0.65,-9.07,-0.51,-0.03,-0.46,34.9
-10.12,0.71,-5.85,-0.94,-0.59,-0.55,34.89
-13.05,1.43,-4.91,-1.09,-0.13,-0.62,34.9
-11.95,-1.86,-2.49,-1.07,0.23,-0.35,34.89
-15.58,-3.32,-3.49,2.0,0.05,0.2,34.88
-9.38,0.47,-0.71,0.52,-0.2,0.53,34.9
-9.38,-3.39,3.72,-0.41,-0.36,0.14,34.88
-8.96,-0.58,1.51,-0.26,-0.88,0.42,34.87
-19.57,2.7,-2.68,-1.04,0.38,0.12,34.88
-3.37,0.51,-0.8,-1.03,-0.28,-0.33,34.87
-4.38,-0.01,-4.41,-2.9,-0.29,-0.76,34.88
-7.0,2.84,-5.75,-0.82,0.15,-0.81,34.89
-10.97,-1.17,1.37,0.89,0.2,0.02,34.89
-6.71,0.51,2.26,0.39,-0.53,0.43,34.86
-18.92,4.3,-3.2,-1.15,0.44,-0.36,34.89
-10.79,1.82,-1.65,-2.85,0.2,-0.48,34.87
-10.3,1.91,-0.35,-0.37,-0.0,0.17,34.84
-5.7,-0.39,-0.38,0.13,0.21,-0.08,34.84
-5.4,1.74,0.09,-0.77,-0.08,-0.29,34.86
-10.27,2.39,-4.87,-0.45,0.17,-0.22,34.83
-11.32,2.05,-0.44,1.11,0.09,-0.1,34.85
-4.47,2.02,-3.2,-3.24,0.09,-0.62,34.83
-9.1,0.56,-2.99,-0.9,-0.33,-0.14,34.81
-6.56,0.24,-0.74,-0.5,-0.13,-0.23,34.8
-4.47,0.38,-1.74,0.7,0.08,0.08,34.82
-5.45,-0.42,-0.03,-0.04,0.35,-0.03,34.79
-5.53,0.41,-0.91,0.35,0.33,0.05,34.82
-5.06,0.4,-0.65,0.67,0.26,0.32,34.81
-7.79,1.38,-0.65,-0.22,0.34,-0.26,34.81
-5.95,-0.42,-1.9,-2.02,-0.11,-0.74,34.8
-12.8,1.95,-4.39,-1.9,-0.35,-1.07,34.81
-4.37,-0.8,-8.34,0.68,-0.23,-0.32,34.78
-9.1,-1.02,0.83,0.47,0.07,0.4,34.78
-5.67,-2.0,1.2,0.19,-0.94,0.22,34.77
-7.65,1.62,-6.08,-2.63,0.94,-0.96,34.78
-8.17,2.38,-6.89,-0.62,-0.08,0.31,34.77
-13.0,-0.41,-0.9,-0.76,-0.11,0.06,34.77
-5.47,-0.5,-0.67,-0.98,-0.17,-0.43,34.77
-10.22,0.69,-4.66,-1.04,0.35,-0.59,34.76
-8.11,-1.32,-0.69,2.41,0.26,0.12,34.77
-5.0,1.98,-1.78,-0.55,0.14,-0.14,34.77
-4.5,0.38,-3.2,-2.97,0.08,-0.17,34.77
-9.16,-0.28,-0.04,0.43,0.12,-0.35,34.77
-3.99,1.37,-1.02,1.13,-0.45,0.15,34.74
-10.97,-0.08,-4.87,0.06,-0.04,0.12,34.73
-9.69,-2.09,0.88,-1.47,-0.19,0.1,34.74
-0.24,1.57,0.32,-0.37,-0.22,-0.19,34.73
-22.7,-5.88,0.31,1.44,0.43,0.77,34.74
-12.3,-0.11,-1.26,0.3,0.11,0.09,34.73
-0.28,0.08,0.24,-0.19,-0.7,0.43,34.72
-20.68,4.41,-6.03,-0.95,0.9,-0.12,34.7
-5.74,-0.22,-0.2,-1.79,-0.31,-0.46,34.72
-3.07,-1.03,-4.66,-0.2,-0.93,-0.17,34.69
