accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temperature
-8.78,0.43,2.86,0.06,0.04,-0.08,32.64
-8.44,0.75,2.59,-0.27,0.07,0.24,32.66
-8.87,1.26,2.62,0.03,-0.13,0.01,32.65
-8.78,1.17,2.55,-0.09,0.24,0.01,32.65
-8.94,1.41,2.36,0.11,-0.19,0.0,32.64
-9.36,0.8,1.14,0.83,0.09,-0.46,32.65
-9.22,-0.49,1.0,0.54,-0.0,-0.2,32.67
-8.97,0.1,1.93,0.11,0.12,0.15,32.69
-8.96,0.59,2.71,0.41,-0.29,-0.2,32.67
-8.86,-1.47,1.28,0.02,0.1,0.05,32.67
-9.23,-0.09,1.84,0.02,-0.13,0.1,32.68
-8.93,0.12,2.86,-0.08,-0.06,0.0,32.66
-9.29,0.23,2.54,-0.13,-0.06,0.07,32.7
-8.35,0.52,4.26,0.12,0.16,-0.04,32.72
-8.88,-0.69,2.82,0.16,-0.01,-0.04,32.7
-8.45,0.06,2.91,-0.12,0.07,0.26,32.71
-9.06,-0.65,1.29,0.39,-0.11,-0.04,32.72
-9.53,0.28,0.85,-0.24,0.07,0.26,32.73
-8.7,1.41,3.36,-0.28,0.07,0.18,32.71
-7.11,-0.28,-0.1,0.45,0.18,0.36,32.72
-9.88,-1.13,0.94,-0.09,-0.21,-0.03,32.72
-8.95,0.66,0.08,1.12,0.15,-0.29,32.76
-9.52,-0.85,0.22,0.34,-0.3,-0.03,32.73
-9.42,1.34,1.18,0.84,0.9,0.59,32.74
-8.82,0.05,0.47,-0.42,-0.26,0.16,32.72
-8.54,0.97,0.67,0.39,0.58,0.01,32.74
-9.08,0.5,-0.34,-0.12,-0.26,-0.02,32.73
-9.17,0.7,1.88,-0.28,-0.06,0.12,32.75
-8.31,-0.05,1.22,-0.18,0.09,-0.04,32.73
-8.88,-0.18,2.29,-0.09,0.01,0.11,32.73
-9.03,0.25,2.39,-0.42,0.01,0.2,32.75
-8.76,0.03,2.71,0.4,-0.12,-0.15,32.76
-8.35,-0.05,3.07,0.05,0.08,-0.08,32.77
-8.23,-0.06,3.64,-0.01,0.03,0.04,32.75
-8.56,0.09,2.57,-0.05,0.05,0.04,32.76
-8.86,0.4,2.16,0.11,-0.06,-0.03,32.77
-8.94,0.37,2.32,-0.45,-0.02,0.21,32.77
-9.35,1.09,1.54,0.32,-0.1,-0.24,32.78
-9.27,-0.41,1.75,0.03,-0.02,0.04,32.77
-8.94,0.83,1.61,-0.25,-0.22,-0.15,32.8
-9.25,0.68,0.31,0.18,-0.02,-0.3,32.79
