accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temperature
-9.08,-0.71,0.69,-0.07,-0.19,-0.01,34.56
-9.11,-0.51,0.17,-0.27,-0.22,0.01,34.57
-8.87,-0.05,-0.9,0.25,0.19,-0.08,34.59
-8.99,-2.8,-0.4,-0.66,-0.18,0.13,34.55
-9.36,-0.02,0.42,-0.09,-0.06,0.07,34.59
-9.11,-0.07,-0.01,-0.09,0.04,-0.03,34.57
-9.15,-0.11,-0.01,-0.04,-0.07,0.02,34.56
-8.86,0.76,-1.16,0.45,0.49,0.05,34.57
-8.95,-2.62,1.11,0.29,-0.03,0.21,34.58
-9.62,-1.39,0.52,0.84,-0.13,-0.22,34.58
-8.32,0.44,-0.75,-1.19,-0.23,-0.14,34.59
-6.98,-0.15,-3.07,-0.6,-0.1,0.28,34.57
-9.38,-2.0,0.32,-0.89,-0.04,-0.2,34.59
-8.55,-2.64,-0.25,1.5,0.27,0.15,34.59
-9.11,-0.43,-0.31,-0.34,0.56,-0.35,34.6
-8.56,-1.34,1.17,1.84,0.24,-0.05,34.59
-8.93,0.51,0.67,-1.25,-0.02,-0.01,34.62
-7.12,0.48,0.6,-0.05,0.05,-0.0,34.59
-9.26,-1.29,-3.56,0.81,-0.33,0.04,34.58
-9.23,-1.02,0.32,-0.9,-0.54,-0.07,34.59
-8.79,-3.56,0.15,-0.93,0.24,-0.07,34.59
-9.43,-1.9,-2.11,0.07,-0.43,0.0,34.58
-8.66,-1.11,1.08,0.24,-0.18,-0.07,34.58
-8.38,-2.85,0.11,-0.44,0.14,-0.18,34.61
-8.96,-3.02,2.16,-0.26,-0.31,0.18,34.58
-9.19,-1.75,1.08,0.51,0.28,0.01,34.6
-8.85,-0.38,1.37,0.15,-0.28,-0.11,34.59
-8.96,-2.16,-1.62,-0.31,-0.37,-0.12,34.6
-8.68,-0.35,1.68,-0.14,-0.09,-0.34,34.6
-9.13,-1.32,-0.32,-0.3,0.1,-0.03,34.58
-8.25,-2.24,0.95,-0.15,0.06,0.13,34.57
-10.69,-1.63,-0.34,-0.2,-0.39,-0.16,34.58
-8.74,-0.23,0.51,-0.24,-0.03,-0.05,34.59
-8.18,-0.68,-1.73,-0.34,0.21,0.15,34.59
-8.38,-2.0,-0.05,-0.4,-0.01,-0.0,34.58
-11.24,-0.44,-1.06,0.19,-0.52,-0.26,34.59
-9.09,-1.37,1.4,0.47,0.08,-0.09,34.58
-8.53,-1.76,-0.81,-0.98,0.05,0.0,34.6
-9.79,-2.69,-0.84,-2.41,-0.8,0.33,34.58
-9.6,-1.97,-0.07,-1.03,-0.3,-0.17,34.57
-8.69,-0.27,0.22,0.2,0.22,-0.05,34.57
-8.45,-1.73,0.79,-0.12,-0.03,0.08,34.57
-8.37,-2.6,-0.6,0.1,-0.22,-0.05,34.57
-9.01,-0.95,1.38,0.1,0.15,-0.04,34.58
-10.72,-2.03,-0.29,0.25,-0.32,0.09,34.58
-8.14,-2.66,0.82,-0.31,0.27,0.07,34.57
-9.28,-1.29,2.14,0.2,-0.24,-0.08,34.56
-9.06,-2.18,0.3,0.31,0.14,-0.07,34.57
-8.55,-2.37,0.9,0.08,-0.0,0.09,34.6
-9.45,-3.46,-0.18,-0.68,-0.37,0.21,34.59
-9.13,0.4,0.06,-2.0,-0.2,0.02,34.58
-9.13,-2.32,0.78,-0.67,-0.18,0.04,34.58
-10.56,-1.15,-0.3,-0.18,-0.65,-0.33,34.57
-8.61,-0.77,0.26,0.26,-0.08,-0.11,34.55
-9.03,-2.62,1.17,-0.54,-0.3,0.29,34.59
-7.62,-4.06,-0.96,0.82,0.35,-0.03,34.57
-8.53,-0.78,0.37,0.2,0.21,-0.05,34.57
-11.2,-1.78,0.75,-0.63,-0.9,0.2,34.56
-7.69,-2.47,0.37,0.01,0.12,0.1,34.56
-8.88,-0.97,1.49,0.21,-0.09,-0.08,34.58
-7.29,-0.78,-1.1,-0.32,0.04,0.01,34.57
-8.87,-2.82,1.35,0.07,0.27,0.02,34.58
-10.85,-2.48,-0.35,0.65,-0.22,-0.32,34.57
-8.78,-0.65,0.36,-1.15,0.1,-0.01,34.56
-8.93,-2.73,1.14,-1.93,-0.54,0.22,34.55
-9.21,-2.86,0.31,-0.84,-0.18,0.14,34.58
-9.03,-0.65,0.51,0.08,0.4,-0.05,34.57
-9.22,-2.49,0.93,-0.36,-0.28,0.15,34.57
-8.94,-2.86,-0.07,0.21,0.35,-0.08,34.54
-8.53,-1.64,1.96,0.31,0.05,-0.09,34.54
-7.81,-0.83,-1.18,-0.36,0.21,-0.03,34.54
-8.44,-2.36,0.31,-0.28,0.15,0.11,34.56
-7.7,-3.72,-0.79,0.91,0.2,0.09,34.53
-9.2,-1.43,1.94,0.36,0.01,-0.07,34.54
-9.09,-1.97,-0.42,-0.28,-0.34,0.16,34.56
-8.84,-3.17,1.07,-0.2,-0.01,0.02,34.53
-10.83,-2.94,3.1,0.8,-0.21,0.01,34.53
-8.54,-0.64,1.04,-0.54,0.11,-0.04,34.54
-9.63,-2.83,0.97,-1.57,-0.58,0.14,34.55
-8.26,-1.78,1.52,-0.86,-0.28,-0.22,34.53
-8.71,0.6,0.19,-1.26,-0.01,0.34,34.52
-9.44,-0.4,-1.37,-0.55,-0.21,0.01,34.52
-8.4,-2.82,0.53,-0.34,0.15,0.18,34.5
-10.54,-1.77,0.14,0.14,-0.07,-0.11,34.52
-9.58,-1.02,0.09,-0.48,-0.19,0.04,34.51
-9.46,-2.87,1.26,-0.08,-0.28,0.25,34.52
-9.5,-1.75,0.35,-0.04,0.19,0.08,34.52
-9.04,-0.33,0.82,0.35,-0.07,-0.15,34.52
-7.16,-0.81,-2.77,-0.65,-0.1,-0.09,34.54
-8.11,-2.68,1.26,0.31,0.2,0.07,34.52
-11.12,-1.71,-0.19,0.31,-0.42,-0.18,34.49
-8.86,0.29,0.51,-1.62,0.06,0.35,34.51
-9.04,-2.07,0.89,-1.23,-0.06,0.01,34.5
-9.9,-0.07,1.32,0.22,-0.13,-0.36,34.52
-7.65,-1.17,-0.96,-0.62,-0.22,-0.2,34.5
-8.71,-2.59,0.51,-0.02,0.25,0.03,34.48
-9.07,-0.98,1.22,0.28,-0.27,-0.28,34.49
